first played, last played, playtime/mins, money,jrmcStrI,jrmcDexI,jrmcCnsI,jrmcWilI,jrmcIntI,jrmcCncI
1661633368106,1661634065156,13614,0,10,5,15,10,5,15
1648798666364,1676881642477,2671804,377.0,65,70,100,20,255,65
1678321718810,1683154231768,24450,0.0,27,15,10,15,5,5
1686863198424,1686873447204,87046,0.0,41,22,25,15,8,5
1677872329618,1677873833571,28577,0.0,15,10,10,15,5,5
1663260519920,1663262481244,38770,0.0,20,11,10,15,5,5
1671104645309,1681046020233,5414407,687.410,1320,1410,1410,15,280,520
1629539197215,1660295487421,190647,0,30,31,19,15,16,10
1612705020113,1677964886039,962218,31596.520268567743934,39000,31400,39000,146,8290,21103
1677699441505,1677702915470,68745,0.0,19,10,10,15,15,5
1657870282015,1657956210814,59099,0.0,23,10,10,15,15,5
1686497265246,1686503614846,125730,0,62,11,19,15,5,10
1657921824606,1657937265753,302620,0.0,21,16,13,15,15,8
1681675765636,1681675898549,1689,0,10,10,10,15,10,5
1655222177382,1655222811977,11662,0,10,10,10,15,10,5
1661681808253,1661734491283,196079,0.0,51,10,22,15,12,5
1667646723919,1675926995051,678614,0.0,10,10,10,10,10,10
1669821360974,1669821948853,11598,0,15,10,10,15,5,5
1657321087128,1657408038096,69356,35.0,10,10,10,15,10,5
1673994750109,1674414366983,398725,0.0,17,10,15,15,5,5
